target_id,canonical_name,institution_type,target_resolution_status,institution_id,organizational_unit_id,parent_target_id,parent_institution_id,matched_by,match_confidence,match_source_url,match_evidence_hash,source_url,source_reference,evidence_hash,current_status,resolution_reason,review_required,schedule_coverage_status
phc:bi-do,비두보건진료소,public_health_clinic,matched_existing,public:deac038acdad6485,,,,name_base_address,1.0000,https://www.wonju.go.kr/health/contents.do?key=5155,e7530e904b4177f69a6ceadb62e074a9bd8e9ced06c66c6605b48c14545e18f9,https://www.wonju.go.kr/health/contents.do?key=5155,,e7530e904b4177f69a6ceadb62e074a9bd8e9ced06c66c6605b48c14545e18f9,source_confirmed,Unique existing institution matched by name_base_address.,False,not_present_in_collected_sources
phc:hakgok,학곡보건진료소,public_health_clinic,matched_existing,public:265f46739ae16abe,,,,name_base_address,1.0000,https://www.wonju.go.kr/health/contents.do?key=5155,df2ece1acf2be18ed65f2af9c1781ee76a54fe133213786c6a4531d486f13f53,https://www.wonju.go.kr/health/contents.do?key=5155,,df2ece1acf2be18ed65f2af9c1781ee76a54fe133213786c6a4531d486f13f53,source_confirmed,Unique existing institution matched by name_base_address.,False,not_present_in_collected_sources
phc:gosan,고산보건진료소,public_health_clinic,matched_existing,public:5223b87fac866af6,,,,name_base_address,1.0000,https://www.wonju.go.kr/health/contents.do?key=5155,3f2575175cd4447549725b31090214dc7dc0fcb530076ef6de7253aba160a2f9,https://www.wonju.go.kr/health/contents.do?key=5155,,3f2575175cd4447549725b31090214dc7dc0fcb530076ef6de7253aba160a2f9,source_confirmed,Unique existing institution matched by name_base_address.,False,not_present_in_collected_sources
phc:sanhyeon,산현보건진료소,public_health_clinic,created_new,public:p0:110991d0a71108ed,,,,official_name_address_created_new,1.0000,https://www.wonju.go.kr/health/contents.do?key=5155,048959f07dc1df22a85fea893a26995e9c596db4d40ba9aa2f7fc00b5d51ed82,https://www.wonju.go.kr/health/contents.do?key=5155,,048959f07dc1df22a85fea893a26995e9c596db4d40ba9aa2f7fc00b5d51ed82,source_confirmed,"Created from official institution name, Wonju address, and field-level evidence.",False,not_present_in_collected_sources
phc:pandae,판대보건진료소,public_health_clinic,matched_existing,public:824c56bcb6d1960f,,,,name_base_address,1.0000,https://www.wonju.go.kr/health/contents.do?key=5155,a5126b95d5a920694fa66cbfc0f9df5dd36504fe1bcd9c851f15771a9ff3a6f9,https://www.wonju.go.kr/health/contents.do?key=5155,,a5126b95d5a920694fa66cbfc0f9df5dd36504fe1bcd9c851f15771a9ff3a6f9,source_confirmed,Unique existing institution matched by name_base_address.,False,not_present_in_collected_sources
phc:dangang,단강보건진료소,public_health_clinic,matched_existing,public:25f21278d23c6b7d,,,,name_base_address,1.0000,https://www.wonju.go.kr/health/contents.do?key=5155,5d943f493fce41fe3f6c299576dd59c8706d1b35dadc3fca2dd2cc22e4a8e200,https://www.wonju.go.kr/health/contents.do?key=5155,,5d943f493fce41fe3f6c299576dd59c8706d1b35dadc3fca2dd2cc22e4a8e200,source_confirmed,Unique existing institution matched by name_base_address.,False,not_present_in_collected_sources
phc:saje,사제보건진료소,public_health_clinic,matched_existing,public:6be7a95483830a6b,,,,name_base_address,1.0000,https://www.wonju.go.kr/health/contents.do?key=5155,ca8f8da6f7850480013cec911b627854cc25b1c16f82ceffb145564e8bb8de66,https://www.wonju.go.kr/health/contents.do?key=5155,,ca8f8da6f7850480013cec911b627854cc25b1c16f82ceffb145564e8bb8de66,source_confirmed,Unique existing institution matched by name_base_address.,False,not_present_in_collected_sources
phc:hwangdun,황둔보건진료소,public_health_clinic,matched_existing,public:3fb4371ac44e2666,,,,name_base_address,1.0000,https://www.wonju.go.kr/health/contents.do?key=5155,8eb43fb26846923af06ec2224310383f28ae0cc9007d76a4079ac5bd296ae758,https://www.wonju.go.kr/health/contents.do?key=5155,,8eb43fb26846923af06ec2224310383f28ae0cc9007d76a4079ac5bd296ae758,source_confirmed,Unique existing institution matched by name_base_address.,False,not_present_in_collected_sources
hls:namwonju,남원주건강생활지원센터,health_life_support_center,created_new,public:p0:5806f0e0ec6a5bbf,,,,official_name_address_created_new,1.0000,https://www.wonju.go.kr/health/contents.do?key=3745,a767413b745dccd4d498d243a58e464e90b9558271e8da2e27b864656cea729b,https://www.wonju.go.kr/health/contents.do?key=3745,,a767413b745dccd4d498d243a58e464e90b9558271e8da2e27b864656cea729b,source_confirmed,"Created from official institution name, Wonju address, and field-level evidence.",False,not_present_in_collected_sources
hls:namwonju-annex,남원주건강생활지원센터 혁신분소,health_life_support_center,created_new,public:p0:b9c5349b1a66315c,,,,official_name_address_created_new,1.0000,https://www.wonju.go.kr/health/contents.do?key=3745,1db1e3f88a6864938c41ed6dc000db54a3941c390586641382058a82396964de,https://www.wonju.go.kr/health/contents.do?key=3745,,1db1e3f88a6864938c41ed6dc000db54a3941c390586641382058a82396964de,source_confirmed,"Created from official institution name, Wonju address, and field-level evidence.",False,not_present_in_collected_sources
